,element_type,osmid,name,public_transport,geometry,lat,lon,icona
3228,node,9982979635,Via Buccinasco Via Santi,stop_position,POINT (9.1246111 45.4363365),45.4363365,9.1246111,
3229,node,9983114046,Q.re Lodovico il Moro,stop_position,POINT (9.1230403 45.437348),45.437348,9.1230403,
3230,node,9985763297,,platform,POINT (9.2154828 45.4369302),45.4369302,9.2154828,
3231,node,10006171601,Viale Campania - Via Archimede,platform,POINT (9.2237815 45.4658467),45.4658467,9.2237815,
3232,node,10044383302,Orioshuttle - Milano Stazione Centrale,stop_position,POINT (9.2063822 45.4858657),45.4858657,9.2063822,
3233,node,10056597632,Bus per Aeroporto Bergamo,stop_position,POINT (9.2062421 45.4857227),45.4857227,9.2062421,
3234,node,10056597633,,platform,POINT (9.2061128 45.4856666),45.4856666,9.2061128,
3235,node,10056597634,,stop_position,POINT (9.2061669 45.485646),45.485646,9.2061669,
3236,node,10073286880,Via Bisceglie Via Ciconi,stop_position,POINT (9.1173607 45.4523556),45.4523556,9.1173607,
3237,node,10073286881,Via Bisceglie - Via Bensi,stop_position,POINT (9.1202149 45.4476474),45.4476474,9.1202149,
3238,node,10073286882,Via Gonin - Via Giordani,stop_position,POINT (9.1228341 45.443934),45.443934,9.1228341,
3239,node,10073286883,Via Buccinasco - Via Santi,stop_position,POINT (9.1244768 45.4360884),45.4360884,9.1244768,
3240,node,10073286884,Via Giussani,stop_position,POINT (9.1398271 45.4408879),45.4408879,9.1398271,
3241,node,10073286886,Quartiere Barona,stop_position,POINT (9.1387412 45.4389204),45.4389204,9.1387412,
3242,node,10073286887,Via Chiodi - Viale Faenza,stop_position,POINT (9.1406967 45.4383399),45.4383399,9.1406967,
3243,node,10081967717,Via Lorenteggio - Via Primaticcio,stop_position,POINT (9.1366919 45.4499368),45.4499368,9.1366919,
3244,node,10081967718,Via dei Giacinti - Via dei Gigli,stop_position,POINT (9.1332951 45.4509097),45.4509097,9.1332951,
3245,node,10081967719,Largo Fatima,stop_position,POINT (9.1310002 45.4481027),45.4481027,9.1310002,
3246,node,10081967720,Via Lorenteggio - Via Inganni,stop_position,POINT (9.1284841 45.4472787),45.4472787,9.1284841,
3247,node,10081967722,Via Lorenteggio - Via Menaggio,stop_position,POINT (9.124769 45.4460784),45.4460784,9.124769,
3248,node,10081967723,Via Lorenteggio - Via Bisceglie,stop_position,POINT (9.121164 45.4451218),45.4451218,9.121164,
